notch,srg,mcp
lt/m,net/minecraft/server/dedicated/DedicatedServer/field_71340_o,net/minecraft/server/dedicated/DedicatedServer/settings
lt/n,net/minecraft/server/dedicated/DedicatedServer/field_154332_n,net/minecraft/server/dedicated/DedicatedServer/field_154332_n
lt/k,net/minecraft/server/dedicated/DedicatedServer/field_71342_m,net/minecraft/server/dedicated/DedicatedServer/theRConThreadQuery
lt/l,net/minecraft/server/dedicated/DedicatedServer/field_71339_n,net/minecraft/server/dedicated/DedicatedServer/theRConThreadMain
lt/q,net/minecraft/server/dedicated/DedicatedServer/field_71335_s,net/minecraft/server/dedicated/DedicatedServer/guiIsEnabled
lt/o,net/minecraft/server/dedicated/DedicatedServer/field_71338_p,net/minecraft/server/dedicated/DedicatedServer/canSpawnStructures
lt/p,net/minecraft/server/dedicated/DedicatedServer/field_71337_q,net/minecraft/server/dedicated/DedicatedServer/gameType
bjw/aD,net/minecraft/client/particle/EntityCrit2FX/field_70558_as,net/minecraft/client/particle/EntityCrit2FX/particleName
bjw/aC,net/minecraft/client/particle/EntityCrit2FX/field_70559_ar,net/minecraft/client/particle/EntityCrit2FX/maximumLife
bjw/aB,net/minecraft/client/particle/EntityCrit2FX/field_70560_aq,net/minecraft/client/particle/EntityCrit2FX/currentLife
net/minecraft/realms/RealmsEditBox/BACKWARDS,net/minecraft/realms/RealmsEditBox/BACKWARDS,net/minecraft/realms/RealmsEditBox/BACKWARDS
avx/b,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut/field_74910_c,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut/tablePosition
xf/b,net/minecraft/util/WeightedRandomFishable/field_150711_b,net/minecraft/util/WeightedRandomFishable/field_150711_b
xf/c,net/minecraft/util/WeightedRandomFishable/field_150712_c,net/minecraft/util/WeightedRandomFishable/field_150712_c
bcj/o,net/minecraft/client/gui/GuiOptionButton/field_146137_o,net/minecraft/client/gui/GuiOptionButton/enumOptions
avx/a,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut/field_74909_b,net/minecraft/world/gen/structure/StructureVillagePieces$WoodHut/isTallHouse
xf/d,net/minecraft/util/WeightedRandomFishable/field_150710_d,net/minecraft/util/WeightedRandomFishable/field_150710_d
akg/a,net/minecraft/block/BlockDaylightDetector/field_149958_a,net/minecraft/block/BlockDaylightDetector/field_149958_a
bmx/a,net/minecraft/client/renderer/culling/Frustrum/field_78552_a,net/minecraft/client/renderer/culling/Frustrum/clippingHelper
kq/b,net/minecraft/init/Bootstrap$13/field_150838_b,net/minecraft/init/Bootstrap$13/field_150838_b
wc/e,net/minecraft/village/VillageCollection/field_75553_e,net/minecraft/village/VillageCollection/tickCounter
wc/d,net/minecraft/village/VillageCollection/field_75552_d,net/minecraft/village/VillageCollection/villageList
wc/c,net/minecraft/village/VillageCollection/field_75555_c,net/minecraft/village/VillageCollection/newDoors
bbx/b,net/minecraft/client/gui/MapItemRenderer/field_148251_b,net/minecraft/client/gui/MapItemRenderer/field_148251_b
bbx/a,net/minecraft/client/gui/MapItemRenderer/field_148253_a,net/minecraft/client/gui/MapItemRenderer/field_148253_a
bbx/c,net/minecraft/client/gui/MapItemRenderer/field_148252_c,net/minecraft/client/gui/MapItemRenderer/field_148252_c
aju/M,net/minecraft/block/BlockCake/field_150039_M,net/minecraft/block/BlockCake/field_150039_M
avg/c,net/minecraft/world/gen/structure/MapGenStructure$2/field_85164_c,net/minecraft/world/gen/structure/MapGenStructure$2/theMapStructureGenerator
wc/b,net/minecraft/village/VillageCollection/field_75554_b,net/minecraft/village/VillageCollection/villagerPositionsList
bbg/b,net/minecraft/util/MouseHelper/field_74375_b,net/minecraft/util/MouseHelper/deltaY
wc/a,net/minecraft/village/VillageCollection/field_75556_a,net/minecraft/village/VillageCollection/worldObj
bbg/a,net/minecraft/util/MouseHelper/field_74377_a,net/minecraft/util/MouseHelper/deltaX
avg/a,net/minecraft/world/gen/structure/MapGenStructure$2/field_85165_a,net/minecraft/world/gen/structure/MapGenStructure$2/field_85165_a
avg/b,net/minecraft/world/gen/structure/MapGenStructure$2/field_85163_b,net/minecraft/world/gen/structure/MapGenStructure$2/field_85163_b
aju/a,net/minecraft/block/BlockCake/field_150038_a,net/minecraft/block/BlockCake/field_150038_a
aju/b,net/minecraft/block/BlockCake/field_150037_b,net/minecraft/block/BlockCake/field_150037_b
bmx/b,net/minecraft/client/renderer/culling/Frustrum/field_78550_b,net/minecraft/client/renderer/culling/Frustrum/xPosition
bmx/c,net/minecraft/client/renderer/culling/Frustrum/field_78551_c,net/minecraft/client/renderer/culling/Frustrum/yPosition
bmx/d,net/minecraft/client/renderer/culling/Frustrum/field_78549_d,net/minecraft/client/renderer/culling/Frustrum/zPosition
bon/a,net/minecraft/client/renderer/entity/RenderPainting/field_110807_a,net/minecraft/client/renderer/entity/RenderPainting/field_110807_a
bdn/o,net/minecraft/client/gui/GuiOptions$1/field_146130_o,net/minecraft/client/gui/GuiOptions$1/field_146130_o
aak/a,net/minecraft/inventory/SlotFurnace/field_75229_a,net/minecraft/inventory/SlotFurnace/thePlayer
aak/b,net/minecraft/inventory/SlotFurnace/field_75228_b,net/minecraft/inventory/SlotFurnace/field_75228_b
alk/b,net/minecraft/block/BlockBreakable/field_149995_b,net/minecraft/block/BlockBreakable/field_149995_b
vq/a,net/minecraft/entity/ai/EntityAINearestAttackableTarget$Sorter/field_75459_b,net/minecraft/entity/ai/EntityAINearestAttackableTarget$Sorter/theEntity
alk/a,net/minecraft/block/BlockBreakable/field_149996_a,net/minecraft/block/BlockBreakable/field_149996_a
un/f,net/minecraft/entity/ai/EntityAIWatchClosest/field_75329_f,net/minecraft/entity/ai/EntityAIWatchClosest/watchedClass
awk/b,net/minecraft/world/gen/NoiseGeneratorOctaves/field_76306_b,net/minecraft/world/gen/NoiseGeneratorOctaves/octaves
awk/a,net/minecraft/world/gen/NoiseGeneratorOctaves/field_76307_a,net/minecraft/world/gen/NoiseGeneratorOctaves/generatorCollection
un/d,net/minecraft/entity/ai/EntityAIWatchClosest/field_75330_d,net/minecraft/entity/ai/EntityAIWatchClosest/lookTime
un/e,net/minecraft/entity/ai/EntityAIWatchClosest/field_75331_e,net/minecraft/entity/ai/EntityAIWatchClosest/field_75331_e
un/b,net/minecraft/entity/ai/EntityAIWatchClosest/field_75332_b,net/minecraft/entity/ai/EntityAIWatchClosest/theWatcher
un/c,net/minecraft/entity/ai/EntityAIWatchClosest/field_75333_c,net/minecraft/entity/ai/EntityAIWatchClosest/maxDistanceForPlayer
un/a,net/minecraft/entity/ai/EntityAIWatchClosest/field_75334_a,net/minecraft/entity/ai/EntityAIWatchClosest/closestEntity
jn/b,net/minecraft/network/play/client/C12PacketUpdateSign/field_149591_b,net/minecraft/network/play/client/C12PacketUpdateSign/field_149591_b
jn/a,net/minecraft/network/play/client/C12PacketUpdateSign/field_149593_a,net/minecraft/network/play/client/C12PacketUpdateSign/field_149593_a
jn/d,net/minecraft/network/play/client/C12PacketUpdateSign/field_149590_d,net/minecraft/network/play/client/C12PacketUpdateSign/field_149590_d
aky/a,net/minecraft/block/BlockFarmland/field_149824_a,net/minecraft/block/BlockFarmland/field_149824_a
bnk/a,net/minecraft/client/renderer/tileentity/RenderEnderCrystal/field_110787_a,net/minecraft/client/renderer/tileentity/RenderEnderCrystal/enderCrystalTextures
jn/c,net/minecraft/network/play/client/C12PacketUpdateSign/field_149592_c,net/minecraft/network/play/client/C12PacketUpdateSign/field_149592_c
aky/b,net/minecraft/block/BlockFarmland/field_149823_b,net/minecraft/block/BlockFarmland/field_149823_b
bnk/f,net/minecraft/client/renderer/tileentity/RenderEnderCrystal/field_76995_b,net/minecraft/client/renderer/tileentity/RenderEnderCrystal/field_76995_b
bck/k,net/minecraft/client/gui/GuiOptionsRowList/field_148184_k,net/minecraft/client/gui/GuiOptionsRowList/field_148184_k
ayq/e,net/minecraft/world/storage/SaveHandler/field_75769_e,net/minecraft/world/storage/SaveHandler/initializationTime
ayq/d,net/minecraft/world/storage/SaveHandler/field_75768_d,net/minecraft/world/storage/SaveHandler/mapDataDir
ayq/c,net/minecraft/world/storage/SaveHandler/field_75771_c,net/minecraft/world/storage/SaveHandler/playersDirectory
ayq/b,net/minecraft/world/storage/SaveHandler/field_75770_b,net/minecraft/world/storage/SaveHandler/worldDirectory
ik/b,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149456_b,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149456_b
ayq/a,net/minecraft/world/storage/SaveHandler/field_151478_a,net/minecraft/world/storage/SaveHandler/logger
ik/a,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149458_a,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149458_a
ik/d,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149454_d,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149454_d
ik/c,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149457_c,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149457_c
ik/f,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149453_f,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149453_f
ik/e,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149455_e,net/minecraft/network/play/server/S18PacketEntityTeleport/field_149455_e
bfc/p,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146149_p,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146149_p
bfc/q,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146148_q,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146148_q
bqc/b,net/minecraft/client/renderer/texture/TextureMap$3/field_147973_b,net/minecraft/client/renderer/texture/TextureMap$3/field_147973_b
ayq/f,net/minecraft/world/storage/SaveHandler/field_75767_f,net/minecraft/world/storage/SaveHandler/saveDirectoryName
bqc/a,net/minecraft/client/renderer/texture/TextureMap$3/field_147974_a,net/minecraft/client/renderer/texture/TextureMap$3/field_147974_a
bpq/d,net/minecraft/client/renderer/texture/DynamicTexture/field_94234_k,net/minecraft/client/renderer/texture/DynamicTexture/height
beq/q,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148214_q,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148214_q
bpq/c,net/minecraft/client/renderer/texture/DynamicTexture/field_94233_j,net/minecraft/client/renderer/texture/DynamicTexture/width
bpq/b,net/minecraft/client/renderer/texture/DynamicTexture/field_110566_b,net/minecraft/client/renderer/texture/DynamicTexture/dynamicTextureData
beq/m,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148219_m,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148219_m
beq/n,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148216_n,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148216_n
beq/o,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148217_o,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148217_o
beq/p,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148215_p,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148215_p
beq/l,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148218_l,net/minecraft/client/gui/achievement/GuiStats$Stats/field_148218_l
hy/a,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149417_a,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149417_a
hy/c,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149416_c,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149416_c
hy/b,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149415_b,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149415_b
hy/d,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149414_d,net/minecraft/network/play/server/S12PacketEntityVelocity/field_149414_d
axn/d,net/minecraft/world/gen/layer/GenLayer/field_75908_c,net/minecraft/world/gen/layer/GenLayer/chunkSeed
axn/c,net/minecraft/world/gen/layer/GenLayer/field_75907_b,net/minecraft/world/gen/layer/GenLayer/worldGenSeed
axn/b,net/minecraft/world/gen/layer/GenLayer/field_75906_d,net/minecraft/world/gen/layer/GenLayer/baseSeed
axn/a,net/minecraft/world/gen/layer/GenLayer/field_75909_a,net/minecraft/world/gen/layer/GenLayer/parent
tk/b,net/minecraft/entity/ai/attributes/BaseAttribute/field_111113_b,net/minecraft/entity/ai/attributes/BaseAttribute/defaultValue
tk/c,net/minecraft/entity/ai/attributes/BaseAttribute/field_111114_c,net/minecraft/entity/ai/attributes/BaseAttribute/shouldWatch
tk/a,net/minecraft/entity/ai/attributes/BaseAttribute/field_111115_a,net/minecraft/entity/ai/attributes/BaseAttribute/unlocalizedName
rv/B,net/minecraft/potion/Potion/field_76410_B,net/minecraft/potion/Potion/field_76410_B
rv/A,net/minecraft/potion/Potion/field_76409_A,net/minecraft/potion/Potion/field_76409_A
bgf/a,net/minecraft/client/gui/GuiScreenResourcePacks/field_146968_a,net/minecraft/client/gui/GuiScreenResourcePacks/logger
rv/H,net/minecraft/potion/Potion/field_76415_H,net/minecraft/potion/Potion/id
rv/G,net/minecraft/potion/Potion/field_76408_G,net/minecraft/potion/Potion/field_76408_G
rv/J,net/minecraft/potion/Potion/field_76418_K,net/minecraft/potion/Potion/isBadEffect
rv/I,net/minecraft/potion/Potion/field_111188_I,net/minecraft/potion/Potion/field_111188_I
rv/D,net/minecraft/potion/Potion/field_76405_D,net/minecraft/potion/Potion/field_76405_D
bgf/g,net/minecraft/client/gui/GuiScreenResourcePacks/field_146966_g,net/minecraft/client/gui/GuiScreenResourcePacks/field_146966_g
rv/C,net/minecraft/potion/Potion/field_76411_C,net/minecraft/potion/Potion/field_76411_C
bgf/f,net/minecraft/client/gui/GuiScreenResourcePacks/field_146965_f,net/minecraft/client/gui/GuiScreenResourcePacks/field_146965_f
bgf/i,net/minecraft/client/gui/GuiScreenResourcePacks/field_146970_i,net/minecraft/client/gui/GuiScreenResourcePacks/field_146970_i
rv/F,net/minecraft/potion/Potion/field_76407_F,net/minecraft/potion/Potion/field_76407_F
bgf/h,net/minecraft/client/gui/GuiScreenResourcePacks/field_146969_h,net/minecraft/client/gui/GuiScreenResourcePacks/field_146969_h
rv/E,net/minecraft/potion/Potion/field_76406_E,net/minecraft/potion/Potion/field_76406_E
sh/a,net/minecraft/entity/EntityList$EntityEggInfo/field_75613_a,net/minecraft/entity/EntityList$EntityEggInfo/spawnedID
aot/a,net/minecraft/tileentity/TileEntity$2/field_150832_a,net/minecraft/tileentity/TileEntity$2/field_150832_a
sh/c,net/minecraft/entity/EntityList$EntityEggInfo/field_75612_c,net/minecraft/entity/EntityList$EntityEggInfo/secondaryColor
sh/b,net/minecraft/entity/EntityList$EntityEggInfo/field_75611_b,net/minecraft/entity/EntityList$EntityEggInfo/primaryColor
sh/e,net/minecraft/entity/EntityList$EntityEggInfo/field_151513_e,net/minecraft/entity/EntityList$EntityEggInfo/field_151513_e
sh/d,net/minecraft/entity/EntityList$EntityEggInfo/field_151512_d,net/minecraft/entity/EntityList$EntityEggInfo/field_151512_d
azt/d,net/minecraft/util/AxisAlignedBB/field_72336_d,net/minecraft/util/AxisAlignedBB/maxX
azt/e,net/minecraft/util/AxisAlignedBB/field_72337_e,net/minecraft/util/AxisAlignedBB/maxY
azt/f,net/minecraft/util/AxisAlignedBB/field_72334_f,net/minecraft/util/AxisAlignedBB/maxZ
adc/d,net/minecraft/item/Item$ToolMaterial/EMERALD,net/minecraft/item/Item$ToolMaterial/EMERALD
brf/c,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110524_c,net/minecraft/client/resources/ResourcePackRepository$Entry/reResourcePack
bgf/r,net/minecraft/client/gui/GuiScreenResourcePacks/field_146967_r,net/minecraft/client/gui/GuiScreenResourcePacks/field_146967_r
adc/c,net/minecraft/item/Item$ToolMaterial/IRON,net/minecraft/item/Item$ToolMaterial/IRON
brf/d,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110521_d,net/minecraft/client/resources/ResourcePackRepository$Entry/rePackMetadataSection
brf/a,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110525_a,net/minecraft/client/resources/ResourcePackRepository$Entry/reResourcePackRepository
adc/f,net/minecraft/item/Item$ToolMaterial/field_78001_f,net/minecraft/item/Item$ToolMaterial/harvestLevel
adc/e,net/minecraft/item/Item$ToolMaterial/GOLD,net/minecraft/item/Item$ToolMaterial/GOLD
brf/b,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110523_b,net/minecraft/client/resources/ResourcePackRepository$Entry/resourcePackFile
adc/b,net/minecraft/item/Item$ToolMaterial/STONE,net/minecraft/item/Item$ToolMaterial/STONE
brf/e,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110522_e,net/minecraft/client/resources/ResourcePackRepository$Entry/texturePackIcon
brf/f,net/minecraft/client/resources/ResourcePackRepository$Entry/field_110520_f,net/minecraft/client/resources/ResourcePackRepository$Entry/locationTexturePackIcon
adc/a,net/minecraft/item/Item$ToolMaterial/WOOD,net/minecraft/item/Item$ToolMaterial/WOOD
adc/k,net/minecraft/item/Item$ToolMaterial/$VALUES,net/minecraft/item/Item$ToolMaterial/$VALUES
adc/h,net/minecraft/item/Item$ToolMaterial/field_78010_h,net/minecraft/item/Item$ToolMaterial/efficiencyOnProperMaterial
azt/a,net/minecraft/util/AxisAlignedBB/field_72340_a,net/minecraft/util/AxisAlignedBB/minX
adc/g,net/minecraft/item/Item$ToolMaterial/field_78002_g,net/minecraft/item/Item$ToolMaterial/maxUses
azt/b,net/minecraft/util/AxisAlignedBB/field_72338_b,net/minecraft/util/AxisAlignedBB/minY
adc/j,net/minecraft/item/Item$ToolMaterial/field_78008_j,net/minecraft/item/Item$ToolMaterial/enchantability
adc/i,net/minecraft/item/Item$ToolMaterial/field_78011_i,net/minecraft/item/Item$ToolMaterial/damageVsEntity
azt/c,net/minecraft/util/AxisAlignedBB/field_72339_c,net/minecraft/util/AxisAlignedBB/minZ
ge/a,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148852_a,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148852_a
ge/b,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148850_b,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148850_b
bft/v,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147030_v,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147030_v
ge/c,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148851_c,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148851_c
ge/d,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148848_d,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148848_d
bft/u,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147031_u,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/horseGuiTextures
ge/e,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148849_e,net/minecraft/network/play/server/S25PacketBlockBreakAnim/field_148849_e
bft/x,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147034_x,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147034_x
bqt/a,net/minecraft/client/resources/FoliageColorReloadListener/field_130079_a,net/minecraft/client/resources/FoliageColorReloadListener/field_130079_a
bft/w,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147029_w,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147029_w
bft/z,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147032_z,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147032_z
bft/y,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147033_y,net/minecraft/client/gui/inventory/GuiScreenHorseInventory/field_147033_y
rv/p,net/minecraft/potion/Potion/field_76441_p,net/minecraft/potion/Potion/invisibility
rv/o,net/minecraft/potion/Potion/field_76427_o,net/minecraft/potion/Potion/waterBreathing
rv/r,net/minecraft/potion/Potion/field_76439_r,net/minecraft/potion/Potion/nightVision
rv/q,net/minecraft/potion/Potion/field_76440_q,net/minecraft/potion/Potion/blindness
rv/l,net/minecraft/potion/Potion/field_76428_l,net/minecraft/potion/Potion/regeneration
rv/k,net/minecraft/potion/Potion/field_76431_k,net/minecraft/potion/Potion/confusion
rv/n,net/minecraft/potion/Potion/field_76426_n,net/minecraft/potion/Potion/fireResistance
rv/m,net/minecraft/potion/Potion/field_76429_m,net/minecraft/potion/Potion/resistance
rv/x,net/minecraft/potion/Potion/field_76444_x,net/minecraft/potion/Potion/field_76444_x
rv/w,net/minecraft/potion/Potion/field_76434_w,net/minecraft/potion/Potion/field_76434_w
rv/z,net/minecraft/potion/Potion/field_76442_z,net/minecraft/potion/Potion/field_76442_z
rv/y,net/minecraft/potion/Potion/field_76443_y,net/minecraft/potion/Potion/field_76443_y
rv/t,net/minecraft/potion/Potion/field_76437_t,net/minecraft/potion/Potion/weakness
rv/s,net/minecraft/potion/Potion/field_76438_s,net/minecraft/potion/Potion/hunger
rv/v,net/minecraft/potion/Potion/field_82731_v,net/minecraft/potion/Potion/wither
rv/u,net/minecraft/potion/Potion/field_76436_u,net/minecraft/potion/Potion/poison
rv/b,net/minecraft/potion/Potion/field_76423_b,net/minecraft/potion/Potion/field_76423_b
rv/a,net/minecraft/potion/Potion/field_76425_a,net/minecraft/potion/Potion/potionTypes
rv/h,net/minecraft/potion/Potion/field_76432_h,net/minecraft/potion/Potion/heal
rv/g,net/minecraft/potion/Potion/field_76420_g,net/minecraft/potion/Potion/damageBoost
rv/j,net/minecraft/potion/Potion/field_76430_j,net/minecraft/potion/Potion/jump
bfc/o,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146150_o,net/minecraft/client/gui/inventory/GuiBeacon$PowerButton/field_146150_o
rv/i,net/minecraft/potion/Potion/field_76433_i,net/minecraft/potion/Potion/harm
rv/d,net/minecraft/potion/Potion/field_76421_d,net/minecraft/potion/Potion/moveSlowdown
rv/c,net/minecraft/potion/Potion/field_76424_c,net/minecraft/potion/Potion/moveSpeed
rv/f,net/minecraft/potion/Potion/field_76419_f,net/minecraft/potion/Potion/digSlowdown
rv/e,net/minecraft/potion/Potion/field_76422_e,net/minecraft/potion/Potion/digSpeed
gv/a,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149142_a,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149142_a
rv/O,net/minecraft/potion/Potion/field_76413_M,net/minecraft/potion/Potion/usable
gv/b,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149140_b,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149140_b
gv/c,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149141_c,net/minecraft/network/play/server/S2BPacketChangeGameState/field_149141_c
rv/L,net/minecraft/potion/Potion/field_76416_I,net/minecraft/potion/Potion/name
rv/K,net/minecraft/potion/Potion/field_76414_N,net/minecraft/potion/Potion/liquidColor
rv/N,net/minecraft/potion/Potion/field_76412_L,net/minecraft/potion/Potion/effectiveness
rv/M,net/minecraft/potion/Potion/field_76417_J,net/minecraft/potion/Potion/statusIconIndex
anq/a,net/minecraft/block/BlockStainedGlass/field_149998_a,net/minecraft/block/BlockStainedGlass/field_149998_a
aqi/a,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/field_76724_a,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/regionFile
bsz/a,net/minecraft/server/integrated/IntegratedServer$2/field_76972_a,net/minecraft/server/integrated/IntegratedServer$2/theIntegratedServer
aqi/c,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/field_76723_c,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/chunkZ
aqi/b,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/field_76722_b,net/minecraft/world/chunk/storage/RegionFile$ChunkBuffer/chunkX
net/minecraft/realms/ServerPing/nrOfPlayers,net/minecraft/realms/ServerPing/nrOfPlayers,net/minecraft/realms/ServerPing/nrOfPlayers
bhz/a,net/minecraft/client/model/ModelSign/field_78166_a,net/minecraft/client/model/ModelSign/signBoard
bhz/b,net/minecraft/client/model/ModelSign/field_78165_b,net/minecraft/client/model/ModelSign/signStick
re/a,net/minecraft/client/renderer/IconFlipped/field_96454_a,net/minecraft/client/renderer/IconFlipped/baseIcon
re/c,net/minecraft/client/renderer/IconFlipped/field_96453_c,net/minecraft/client/renderer/IconFlipped/flipV
re/b,net/minecraft/client/renderer/IconFlipped/field_96452_b,net/minecraft/client/renderer/IconFlipped/flipU
pp/C,net/minecraft/stats/StatList/field_75934_C,net/minecraft/stats/StatList/mineBlockStatArray
pp/D,net/minecraft/stats/StatList/field_75928_D,net/minecraft/stats/StatList/objectCraftStats
pp/E,net/minecraft/stats/StatList/field_75929_E,net/minecraft/stats/StatList/objectUseStats
pp/F,net/minecraft/stats/StatList/field_75930_F,net/minecraft/stats/StatList/objectBreakStats
pp/A,net/minecraft/stats/StatList/field_151183_A,net/minecraft/stats/StatList/field_151183_A
pp/B,net/minecraft/stats/StatList/field_151184_B,net/minecraft/stats/StatList/field_151184_B
bsi/a,net/minecraft/client/resources/data/TextureMetadataSection/field_110482_a,net/minecraft/client/resources/data/TextureMetadataSection/textureBlur
bsi/b,net/minecraft/client/resources/data/TextureMetadataSection/field_110481_b,net/minecraft/client/resources/data/TextureMetadataSection/textureClamp
bsi/c,net/minecraft/client/resources/data/TextureMetadataSection/field_148536_c,net/minecraft/client/resources/data/TextureMetadataSection/listMipmaps
brw/b,net/minecraft/client/resources/data/IMetadataSerializer/field_110506_b,net/minecraft/client/resources/data/IMetadataSerializer/gsonBuilder
brw/c,net/minecraft/client/resources/data/IMetadataSerializer/field_110507_c,net/minecraft/client/resources/data/IMetadataSerializer/gson
apf/a,net/minecraft/tileentity/TileEntityFlowerPot/field_145967_a,net/minecraft/tileentity/TileEntityFlowerPot/flowerPotItem
brw/a,net/minecraft/client/resources/data/IMetadataSerializer/field_110508_a,net/minecraft/client/resources/data/IMetadataSerializer/metadataSectionSerializerRegistry
apf/i,net/minecraft/tileentity/TileEntityFlowerPot/field_145968_i,net/minecraft/tileentity/TileEntityFlowerPot/flowerPotData
j/a,net/minecraft/crash/CrashReport$8/field_85086_a,net/minecraft/crash/CrashReport$8/theCrashReport
pp/s,net/minecraft/stats/StatList/field_75952_v,net/minecraft/stats/StatList/dropStat
pp/t,net/minecraft/stats/StatList/field_75951_w,net/minecraft/stats/StatList/damageDealtStat
pp/u,net/minecraft/stats/StatList/field_75961_x,net/minecraft/stats/StatList/damageTakenStat
pp/v,net/minecraft/stats/StatList/field_75960_y,net/minecraft/stats/StatList/deathsStat
pp/o,net/minecraft/stats/StatList/field_75955_s,net/minecraft/stats/StatList/distanceByBoatStat
pp/p,net/minecraft/stats/StatList/field_75954_t,net/minecraft/stats/StatList/distanceByPigStat
pp/q,net/minecraft/stats/StatList/field_151185_q,net/minecraft/stats/StatList/field_151185_q
pp/r,net/minecraft/stats/StatList/field_75953_u,net/minecraft/stats/StatList/jumpStat
pp/w,net/minecraft/stats/StatList/field_75959_z,net/minecraft/stats/StatList/mobKillsStat
pp/x,net/minecraft/stats/StatList/field_151186_x,net/minecraft/stats/StatList/field_151186_x
pp/y,net/minecraft/stats/StatList/field_75932_A,net/minecraft/stats/StatList/playerKillsStat
pp/z,net/minecraft/stats/StatList/field_75933_B,net/minecraft/stats/StatList/fishCaughtStat
pp/c,net/minecraft/stats/StatList/field_75941_c,net/minecraft/stats/StatList/generalStats
pp/d,net/minecraft/stats/StatList/field_75938_d,net/minecraft/stats/StatList/itemStats
pp/e,net/minecraft/stats/StatList/field_75939_e,net/minecraft/stats/StatList/objectMineStats
pp/f,net/minecraft/stats/StatList/field_75947_j,net/minecraft/stats/StatList/leaveGameStat
