notch,srg,mcp
any/M,net/minecraft/block/BlockStoneSlab/field_150007_M,net/minecraft/block/BlockStoneSlab/field_150007_M
bfk/a,net/minecraft/client/gui/inventory/CreativeCrafting/field_146109_a,net/minecraft/client/gui/inventory/CreativeCrafting/field_146109_a
any/b,net/minecraft/block/BlockStoneSlab/field_150006_b,net/minecraft/block/BlockStoneSlab/field_150006_b
rm/e,net/minecraft/util/CombatEntry/field_94566_e,net/minecraft/util/CombatEntry/field_94566_e
rm/d,net/minecraft/util/CombatEntry/field_94565_d,net/minecraft/util/CombatEntry/field_94565_d
rm/f,net/minecraft/util/CombatEntry/field_94564_f,net/minecraft/util/CombatEntry/field_94564_f
bhq/a,net/minecraft/client/model/ModelMinecart/field_78154_a,net/minecraft/client/model/ModelMinecart/sideModels
btc/a,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/field_77500_a,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/localServerList
rm/a,net/minecraft/util/CombatEntry/field_94569_a,net/minecraft/util/CombatEntry/damageSrc
rm/c,net/minecraft/util/CombatEntry/field_94568_c,net/minecraft/util/CombatEntry/field_94568_c
rm/b,net/minecraft/util/CombatEntry/field_94567_b,net/minecraft/util/CombatEntry/field_94567_b
btc/c,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/field_77499_c,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/socket
btc/b,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/field_77498_b,net/minecraft/client/network/LanServerDetector$ThreadLanServerFind/broadcastAddress
bsq/a,net/minecraft/client/audio/SoundList$SoundEntry/field_148569_a,net/minecraft/client/audio/SoundList$SoundEntry/field_148569_a
bsq/b,net/minecraft/client/audio/SoundList$SoundEntry/field_148567_b,net/minecraft/client/audio/SoundList$SoundEntry/field_148567_b
bsq/e,net/minecraft/client/audio/SoundList$SoundEntry/field_148566_e,net/minecraft/client/audio/SoundList$SoundEntry/field_148566_e
bsq/f,net/minecraft/client/audio/SoundList$SoundEntry/field_148564_f,net/minecraft/client/audio/SoundList$SoundEntry/field_148564_f
bsq/c,net/minecraft/client/audio/SoundList$SoundEntry/field_148568_c,net/minecraft/client/audio/SoundList$SoundEntry/field_148568_c
bsq/d,net/minecraft/client/audio/SoundList$SoundEntry/field_148565_d,net/minecraft/client/audio/SoundList$SoundEntry/field_148565_d
qj/b,net/minecraft/profiler/Profiler$Result/field_76330_b,net/minecraft/profiler/Profiler$Result/field_76330_b
aen/c,net/minecraft/potion/PotionHelper/field_77923_c,net/minecraft/potion/PotionHelper/ghastTearEffect
qj/c,net/minecraft/profiler/Profiler$Result/field_76331_c,net/minecraft/profiler/Profiler$Result/field_76331_c
aen/d,net/minecraft/potion/PotionHelper/field_77920_d,net/minecraft/potion/PotionHelper/spiderEyeEffect
aen/a,net/minecraft/potion/PotionHelper/field_77924_a,net/minecraft/potion/PotionHelper/field_77924_a
aen/b,net/minecraft/potion/PotionHelper/field_77922_b,net/minecraft/potion/PotionHelper/sugarEffect
qj/a,net/minecraft/profiler/Profiler$Result/field_76332_a,net/minecraft/profiler/Profiler$Result/field_76332_a
aen/k,net/minecraft/potion/PotionHelper/field_77930_k,net/minecraft/potion/PotionHelper/gunpowderEffect
aen/l,net/minecraft/potion/PotionHelper/field_82818_l,net/minecraft/potion/PotionHelper/goldenCarrotEffect
aen/i,net/minecraft/potion/PotionHelper/field_77932_i,net/minecraft/potion/PotionHelper/redstoneEffect
aen/j,net/minecraft/potion/PotionHelper/field_77929_j,net/minecraft/potion/PotionHelper/glowstoneEffect
aen/g,net/minecraft/potion/PotionHelper/field_77919_g,net/minecraft/potion/PotionHelper/blazePowderEffect
aen/h,net/minecraft/potion/PotionHelper/field_77931_h,net/minecraft/potion/PotionHelper/magmaCreamEffect
aen/e,net/minecraft/potion/PotionHelper/field_77921_e,net/minecraft/potion/PotionHelper/fermentedSpiderEyeEffect
aen/f,net/minecraft/potion/PotionHelper/field_77918_f,net/minecraft/potion/PotionHelper/speckledMelonEffect
aen/q,net/minecraft/potion/PotionHelper/field_77926_o,net/minecraft/potion/PotionHelper/potionPrefixes
aen/o,net/minecraft/potion/PotionHelper/field_77928_m,net/minecraft/potion/PotionHelper/potionAmplifiers
aen/p,net/minecraft/potion/PotionHelper/field_77925_n,net/minecraft/potion/PotionHelper/field_77925_n
aen/m,net/minecraft/potion/PotionHelper/field_151423_m,net/minecraft/potion/PotionHelper/field_151423_m
aen/n,net/minecraft/potion/PotionHelper/field_77927_l,net/minecraft/potion/PotionHelper/potionRequirements
apn/j,net/minecraft/tileentity/TileEntitySkull/field_152110_j,net/minecraft/tileentity/TileEntitySkull/field_152110_j
apn/i,net/minecraft/tileentity/TileEntitySkull/field_145910_i,net/minecraft/tileentity/TileEntitySkull/field_145910_i
